Morphology,k,n_seeds,lambda_2_mean,lambda_2_std,lambda_max_mean,eigenratio_mean,eigenratio_std,clustering_mean,clustering_std,mean_degree,density,char_path_length,Merit_Mean
fractal,6,30,0.062132,0.035494,12.466699,268.230746,131.532554,0.781385,0.021909,7.322917,0.116237,5.847305,1.924955
fractal,3,30,nan,nan,4.0,nan,nan,1.0,0.0,3.0,0.047619,nan,1.924955
fractal,10,30,0.576284,0.00915,15.673275,27.202878,0.564052,0.704069,0.003775,10.782292,0.171147,3.908598,1.924955
fractal,15,30,1.85834,0.097608,23.227928,12.530189,0.622282,0.729157,0.005876,16.447917,0.261078,2.428654,1.924955
botanical,6,30,0.274921,0.081027,13.118185,53.75838,23.68436,0.592722,0.022722,7.645833,0.121362,3.501157,4.06402
botanical,3,30,0.045535,0.022533,8.150341,246.301681,150.954707,0.51879,0.043292,3.897917,0.061872,6.295635,4.06402
botanical,10,30,0.913616,0.244169,19.84116,24.206558,10.753453,0.646524,0.018729,12.728125,0.202034,2.58454,4.06402
botanical,15,30,2.333237,0.624247,28.720177,13.556961,5.410602,0.693604,0.016953,19.042708,0.302265,2.061359,4.06402
random,6,30,0.248715,0.079815,12.75385,58.876521,26.577976,0.624744,0.02706,7.2625,0.115278,3.69294,3.227754
random,3,30,0.038623,0.020793,7.757743,263.202993,144.195544,0.547331,0.050042,3.74375,0.059425,6.498347,3.227754
random,10,30,0.875192,0.164676,18.837423,22.471418,5.537178,0.661445,0.020558,11.908333,0.189021,2.659623,3.227754
random,15,30,2.353385,0.394897,27.989095,12.198569,2.117682,0.695642,0.021889,17.901042,0.284144,2.086425,3.227754
fibonacci,6,30,0.401869,0.012778,11.312091,28.173203,1.099698,0.517552,0.003589,6.751042,0.107159,3.61331,1.897993
fibonacci,3,30,0.114904,0.009216,7.126615,62.354769,4.80834,0.243906,0.02952,3.483333,0.055291,5.14079,1.897993
fibonacci,10,30,1.166743,0.025445,17.409826,14.924731,0.356484,0.602194,0.002808,11.227083,0.178208,2.65286,1.897993
fibonacci,15,30,2.877279,0.04134,25.544409,8.879305,0.175439,0.663092,0.001107,17.291667,0.274471,2.097536,1.897993
voronoi,6,30,0.249746,0.049651,12.720473,53.189423,12.343833,0.622018,0.026863,7.253125,0.115129,3.652431,3.332684
voronoi,3,30,0.03114,0.015184,7.77428,310.514005,157.432777,0.538177,0.041686,3.765625,0.059772,6.80154,3.332684
voronoi,10,30,0.843191,0.142656,19.09482,23.301067,4.290891,0.668295,0.018189,11.919792,0.189203,2.676405,3.332684
voronoi,15,30,2.276832,0.3504,27.115927,12.15403,1.74558,0.700397,0.015896,17.809375,0.282688,2.105473,3.332684
hexagonal,6,30,0.258572,0.015847,11.268902,43.740294,2.883055,0.533422,0.006441,6.777083,0.107573,3.787401,1.837763
hexagonal,3,30,0.068963,0.007613,7.271193,106.854187,14.131398,0.378698,0.029128,3.616667,0.057407,5.533135,1.837763
hexagonal,10,30,0.767424,0.024355,18.036362,23.522754,0.889112,0.624162,0.004587,11.488542,0.182358,2.676703,1.837763
hexagonal,15,30,1.865115,0.0529,28.309052,15.194272,0.713115,0.680923,0.004423,17.523958,0.278158,2.135218,1.837763
dla,6,30,0.110775,0.031735,12.700774,123.89679,37.051519,0.675595,0.02476,7.21875,0.114583,4.308515,4.776135
dla,3,30,0.019051,0.004733,7.614234,421.606041,109.267854,0.583555,0.034761,3.678125,0.058383,7.629235,4.776135
dla,10,30,0.414931,0.142462,19.644201,52.166754,16.437331,0.721757,0.025659,11.936458,0.189468,2.961508,4.776135
dla,15,30,1.370592,0.560071,29.566869,24.776523,8.80002,0.752088,0.03221,18.044792,0.286425,2.214468,4.776135
clusters,6,30,0.086245,0.050759,14.089775,226.940331,132.21144,0.669786,0.026235,7.589583,0.12047,4.422461,2.815375
clusters,3,30,0.022462,0.011907,8.300997,455.236332,161.13857,0.567538,0.051573,3.945833,0.062632,7.042934,2.815375
clusters,10,30,0.27153,0.136177,17.434172,86.490962,52.508075,0.757031,0.03173,11.903125,0.188938,3.191505,2.815375
clusters,15,30,0.852603,0.356693,25.981446,37.333115,19.459395,0.826769,0.036982,16.584375,0.263244,2.360334,2.815375
concentric,6,30,0.37237,0.03386,11.468724,31.097239,3.838881,0.544877,0.014587,6.861458,0.108912,3.596809,1.926961
concentric,3,30,0.071675,0.023584,7.390619,131.205902,98.743679,0.407681,0.045067,3.595833,0.057077,5.567905,1.926961
concentric,10,30,1.080898,0.051184,17.554285,16.276574,0.920651,0.624793,0.007924,11.417708,0.181233,2.677083,1.926961
concentric,15,30,2.595001,0.117173,24.657634,9.519477,0.487994,0.670626,0.005032,17.079167,0.271098,2.121577,1.926961
reticulate,6,30,0.171399,0.059786,12.947381,87.733126,41.850485,0.630859,0.029836,7.341667,0.116534,3.928505,4.794273
reticulate,3,30,0.033973,0.014602,7.867727,277.991471,126.466547,0.501716,0.041786,3.741667,0.059392,6.463393,4.794273
reticulate,10,30,0.609258,0.219284,19.748186,36.554161,12.69918,0.687251,0.02288,12.178125,0.193304,2.737897,4.794273
reticulate,15,30,1.811997,0.684656,29.597263,19.112944,8.520969,0.716926,0.017743,18.36875,0.291567,2.130423,4.794273
