Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Merit_Scaled,Fractal vs Botanical,30,-2.932242,-3.482867,-2.414992,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Random,30,-1.736836,-2.048595,-1.445841,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Fibonacci,30,-0.362451,-0.403986,-0.320105,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Voronoi,30,-1.469469,-1.869131,-1.122881,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Hexagonal,30,-0.31253,-0.35401,-0.272952,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Dla,30,-2.218702,-2.671435,-1.78282,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Clusters,30,-1.183427,-1.402412,-0.968886,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Concentric,30,-0.026851,-0.060369,0.006517,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Reticulate,30,-3.095573,-3.788102,-2.44355,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Random,30,1.195406,0.607458,1.816058,0.9783,0.9656,0.000435,0.014779,yes,0.9613
Merit_Scaled,Botanical vs Fibonacci,30,2.569792,2.054318,3.109277,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Voronoi,30,1.462773,0.820698,2.110747,1.127,1.1124,6e-05,0.002407,yes,0.9901
Merit_Scaled,Botanical vs Hexagonal,30,2.619712,2.104041,3.159367,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Dla,30,0.71354,0.041712,1.411263,0.5132,0.5065,0.051715,0.899925,no,0.4979
Merit_Scaled,Botanical vs Clusters,30,1.748815,1.179253,2.33531,1.531,1.5111,1e-06,3.2e-05,yes,0.9999
Merit_Scaled,Botanical vs Concentric,30,2.905392,2.391389,3.440603,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Reticulate,30,-0.163331,-1.022872,0.699014,-0.0947,-0.0934,0.71532,1.0,no,0.065
Merit_Scaled,Random vs Fibonacci,30,1.374386,1.077653,1.690061,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Random vs Voronoi,30,0.267367,-0.221146,0.735434,0.2759,0.2723,0.289823,1.0,no,0.183
Merit_Scaled,Random vs Hexagonal,30,1.424306,1.128276,1.742806,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Random vs Dla,30,-0.481866,-1.023761,0.065149,-0.4422,-0.4364,0.092885,1.0,no,0.3915
Merit_Scaled,Random vs Clusters,30,0.553409,0.1861,0.931923,0.7401,0.7305,0.005974,0.173259,no,0.8048
Merit_Scaled,Random vs Concentric,30,1.709985,1.41632,2.021676,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Random vs Reticulate,30,-1.358737,-2.120292,-0.632674,-0.9096,-0.8978,0.00108,0.035636,yes,0.9337
Merit_Scaled,Fibonacci vs Voronoi,30,-1.107019,-1.505913,-0.75725,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Hexagonal,30,0.049921,-0.001689,0.100884,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Dla,30,-1.856252,-2.307567,-1.413843,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Clusters,30,-0.820977,-1.044405,-0.602857,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Concentric,30,0.3356,0.290319,0.380386,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Reticulate,30,-2.733123,-3.421772,-2.081113,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Voronoi vs Hexagonal,30,1.156939,0.809064,1.552497,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Voronoi vs Dla,30,-0.749233,-1.316052,-0.162828,-0.638,-0.6297,0.016533,0.363722,no,0.6808
