Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Merit_Scaled,Fractal vs Botanical,30,-0.005297,-0.009638,-0.001289,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Random,30,-0.01494,-0.019518,-0.010742,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Fibonacci,30,0.013049,0.012711,0.013375,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Voronoi,30,-0.022492,-0.029711,-0.015857,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Hexagonal,30,0.008963,0.008565,0.009369,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Dla,30,-0.013126,-0.019159,-0.007591,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Clusters,30,0.00921,0.007906,0.010519,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Concentric,30,0.008036,0.006797,0.009289,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fractal vs Reticulate,30,-0.020769,-0.027355,-0.014972,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Random,30,-0.009643,-0.015558,-0.003658,-0.7877,-0.7775,0.003442,0.168646,no,0.8508
Merit_Scaled,Botanical vs Fibonacci,30,0.018346,0.01442,0.022761,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Voronoi,30,-0.017195,-0.025233,-0.009314,-1.053,-1.0393,0.000171,0.009254,yes,0.9798
Merit_Scaled,Botanical vs Hexagonal,30,0.01426,0.010309,0.018634,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Botanical vs Dla,30,-0.007829,-0.015066,-0.000791,-0.5387,-0.5317,0.041829,1.0,no,0.5366
Merit_Scaled,Botanical vs Clusters,30,0.014507,0.010331,0.019064,1.6402,1.6189,0.0,1.7e-05,yes,1.0
Merit_Scaled,Botanical vs Concentric,30,0.013333,0.009189,0.017827,1.5169,1.4972,1e-06,7.3e-05,yes,0.9999
Merit_Scaled,Botanical vs Reticulate,30,-0.015472,-0.023028,-0.00816,-1.0442,-1.0307,0.000176,0.009306,yes,0.9781
Merit_Scaled,Random vs Fibonacci,30,0.027989,0.023636,0.032634,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Random vs Voronoi,30,-0.007552,-0.015903,0.00055,-0.4562,-0.4503,0.083459,1.0,no,0.4121
Merit_Scaled,Random vs Hexagonal,30,0.023903,0.019583,0.028514,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Random vs Dla,30,0.001814,-0.005636,0.009049,0.1227,0.1211,0.636595,1.0,no,0.0754
Merit_Scaled,Random vs Clusters,30,0.02415,0.019639,0.028931,2.6107,2.5768,0.0,0.0,yes,1.0
Merit_Scaled,Random vs Concentric,30,0.022976,0.018472,0.027724,2.4979,2.4655,0.0,0.0,yes,1.0
Merit_Scaled,Random vs Reticulate,30,-0.005829,-0.013585,0.001381,-0.387,-0.382,0.139854,1.0,no,0.3138
Merit_Scaled,Fibonacci vs Voronoi,30,-0.035541,-0.042765,-0.028927,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Hexagonal,30,-0.004086,-0.00454,-0.003611,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Dla,30,-0.026175,-0.032211,-0.020634,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Clusters,30,-0.003839,-0.005174,-0.002507,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Concentric,30,-0.005013,-0.006268,-0.003741,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Fibonacci vs Reticulate,30,-0.033818,-0.040363,-0.02805,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Voronoi vs Hexagonal,30,0.031455,0.024685,0.038708,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Voronoi vs Dla,30,0.009366,0.000252,0.018597,0.5114,0.5048,0.052505,1.0,no,0.4952
Merit_Scaled,Voronoi vs Clusters,30,0.031702,0.024822,0.038997,2.2285,2.1996,0.0,0.0,yes,1.0
Merit_Scaled,Voronoi vs Concentric,30,0.030528,0.023687,0.03774,2.1511,2.1232,0.0,0.0,yes,1.0
Merit_Scaled,Voronoi vs Reticulate,30,0.001723,-0.007844,0.011087,0.0929,0.0917,0.720239,1.0,no,0.0645
Merit_Scaled,Hexagonal vs Dla,30,-0.02209,-0.028109,-0.016565,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Hexagonal vs Clusters,30,0.000247,-0.001099,0.001608,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Hexagonal vs Concentric,30,-0.000927,-0.002233,0.000367,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Hexagonal vs Reticulate,30,-0.029732,-0.036315,-0.023939,n/a,n/a,n/a,n/a,n/a,n/a
Merit_Scaled,Dla vs Clusters,30,0.022336,0.01666,0.028496,1.8426,1.8187,0.0,3e-06,yes,1.0
Merit_Scaled,Dla vs Concentric,30,0.021162,0.015468,0.02727,1.7515,1.7288,0.0,8e-06,yes,1.0
Merit_Scaled,Dla vs Reticulate,30,-0.007643,-0.016384,0.000814,-0.4502,-0.4443,0.08655,1.0,no,0.4032
Merit_Scaled,Clusters vs Concentric,30,-0.001174,-0.003016,0.000588,-0.3259,-0.3217,0.21191,1.0,no,0.2369
Merit_Scaled,Clusters vs Reticulate,30,-0.029979,-0.036623,-0.024082,-2.4061,-2.3749,0.0,0.0,yes,1.0
Merit_Scaled,Concentric vs Reticulate,30,-0.028805,-0.035386,-0.022835,-2.3192,-2.289,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Botanical,30,-0.31893,-0.346974,-0.288823,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Random,30,-0.320154,-0.362307,-0.275256,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Fibonacci,30,-0.304625,-0.316911,-0.291727,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Voronoi,30,-0.284179,-0.331333,-0.235689,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Hexagonal,30,-0.362161,-0.370728,-0.353332,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Dla,30,-0.346788,-0.385265,-0.302289,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Clusters,30,-0.273224,-0.300194,-0.245597,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Concentric,30,-0.307211,-0.33177,-0.280154,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Reticulate,30,-0.280611,-0.32579,-0.233919,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Botanical vs Random,30,-0.001224,-0.052962,0.051671,-0.0116,-0.0114,0.96443,1.0,no,0.0502
Coherence_Ratio,Botanical vs Fibonacci,30,0.014305,-0.017405,0.045933,0.2276,0.2247,0.383466,1.0,no,0.1396
Coherence_Ratio,Botanical vs Voronoi,30,0.034752,-0.020625,0.08946,0.3093,0.3053,0.236826,1.0,no,0.218
Coherence_Ratio,Botanical vs Hexagonal,30,-0.04323,-0.07329,-0.013499,-0.7186,-0.7093,0.008808,0.405188,no,0.7814
