Morphology,Seed,Merit_Scaled,Coherence_Ratio,Peak_AF
fractal,42,0.72646157,1.18474651,0.89532346
fractal,43,0.83645902,1.17976932,1.04279686
fractal,44,0.77113064,1.18740963,0.96916724
fractal,45,0.83415478,1.18902759,1.05232426
fractal,46,0.91789747,1.14749898,1.1695959
fractal,47,0.80293456,1.19594992,0.99456709
fractal,48,0.82789458,1.17467282,1.04259327
fractal,49,0.87261004,1.18600689,1.09705586
fractal,50,0.74846158,1.21537094,0.92704006
fractal,51,0.86916764,1.16981726,1.09048672
fractal,52,0.94181427,1.19903748,1.17364751
fractal,53,0.80401602,1.1699455,1.01716582
fractal,54,0.80034335,1.20042798,0.99950855
fractal,55,0.89872715,1.1488321,1.15226267
fractal,56,0.79572302,1.17113807,0.98989664
fractal,57,0.78625728,1.17272242,0.99003698
fractal,58,0.85166675,1.15666621,1.07311367
fractal,59,0.75683913,1.18687963,0.94460933
fractal,60,0.84496672,1.17063127,1.0567459
fractal,61,0.95785209,1.14055449,1.23143148
fractal,62,0.880159,1.15498909,1.11463585
fractal,63,0.87235881,1.1510558,1.11561677
fractal,64,0.87568316,1.17277117,1.09682958
fractal,65,0.83234127,1.16683794,1.04901589
fractal,66,0.85222671,1.16998187,1.07327722
fractal,67,0.78181454,1.17133632,0.97575191
fractal,68,0.89049374,1.1439623,1.13174735
fractal,69,0.79852181,1.16854669,1.01669831
fractal,70,0.90898598,1.14246448,1.17279659
fractal,71,0.89975093,1.1544031,1.13892615
botanical,42,2.57728394,1.04631733,3.53552209
botanical,43,5.82220974,1.0111778,8.20233954
botanical,44,4.83385272,1.02333922,6.74047717
botanical,45,4.43742224,1.04394236,6.07759614
botanical,46,3.09129086,1.02501488,4.31107452
botanical,47,3.8935093,1.02010967,5.43250114
botanical,48,2.993967,1.03956134,4.11674456
botanical,49,2.59306025,1.03265655,3.60847808
botanical,50,3.29337628,1.04000549,4.5255089
botanical,51,3.54296895,1.01801039,4.97075206
botanical,52,6.37532065,1.01123647,8.99863148
botanical,53,1.49971376,1.08763733,2.01724265
botanical,54,4.27274072,1.02503233,5.94663309
botanical,55,4.58121869,1.0153087,6.42758045
botanical,56,2.00155206,1.05570503,2.7218693
botanical,57,6.45740166,1.0132699,9.0617609
botanical,58,4.0453804,1.02517288,5.61632687
botanical,59,6.09475289,1.01545346,8.53943156
botanical,60,1.82609644,1.05692516,2.49666249
botanical,61,3.80624578,1.02826076,5.29527036
botanical,62,3.16833059,1.03761489,4.36401931
botanical,63,6.8967447,1.01404606,9.65969304
botanical,64,2.71178351,1.04470385,3.72613916
botanical,65,3.17655975,1.03113505,4.40533022
botanical,66,4.2283078,1.02973893,5.86261645
botanical,67,2.07838701,1.05270558,2.84813101
botanical,68,2.50134422,1.04475289,3.42655113
botanical,69,5.45450757,1.01514941,7.65696882
botanical,70,2.35488054,1.03308152,3.25560322
botanical,71,2.59477847,1.04690823,3.5646519
random,42,2.44319476,1.04554582,3.3438632
random,43,2.77688421,1.04331039,3.80336549
random,44,1.8453878,1.08549368,2.44157525
random,45,1.80704641,1.09019037,2.41634327
random,46,2.01959874,1.05708903,2.74482423
random,47,1.87042238,1.0832659,2.47876278
random,48,1.92656513,1.06666285,2.59593733
random,49,2.13319106,1.06269784,2.91311402
random,50,2.24962532,1.06824755,3.10159199
random,51,1.6898366,1.08434236,2.23815636
random,52,3.81897691,1.02371044,5.31076841
random,53,2.87335267,1.0467128,3.92119114
random,54,1.47637235,1.09112498,1.96331204
random,55,2.55731382,1.05939762,3.49156002
random,56,2.83503333,1.0513046,3.88827572
random,57,2.10264708,1.06172327,2.82798697
random,58,2.5688194,1.06061136,3.49173817
random,59,4.50799571,1.02785033,6.22520329
random,60,2.47623684,1.05997994,3.34388658
random,61,2.77546687,1.04540175,3.79854738
random,62,1.38567404,1.10030415,1.83256569
random,63,2.0249756,1.06266594,2.72770497
random,64,4.11874641,1.02646779,5.72483745
random,65,1.63240222,1.11261718,2.14466027
random,66,1.99322849,1.07865434,2.6644009
random,67,3.75859139,1.0407028,5.1381083
random,68,2.43655346,1.05234671,3.33572499
random,69,3.32342825,1.0328842,4.59239255
random,70,4.21839433,1.02241299,5.90367989
random,71,3.69683825,1.03096014,5.11572123
fibonacci,42,1.05934938,1.19216397,1.32723081
fibonacci,43,1.26248673,1.14943308,1.61367998
fibonacci,44,1.05919243,1.17827668,1.32898899
fibonacci,45,1.10839278,1.16488989,1.40328931
fibonacci,46,1.31491723,1.1255844,1.68863517
fibonacci,47,1.09950132,1.17844445,1.38487772
fibonacci,48,1.25092899,1.14529287,1.59159143
fibonacci,49,1.29642495,1.14338862,1.65408243
fibonacci,50,1.14473205,1.17292692,1.44568002
fibonacci,51,1.19656171,1.17436066,1.52725733
fibonacci,52,1.13542292,1.16743101,1.42991655
fibonacci,53,1.32831218,1.14115815,1.69951347
fibonacci,54,1.08926102,1.19870733,1.36147246
fibonacci,55,0.97741156,1.1943905,1.2316218
fibonacci,56,1.14963276,1.15464309,1.46619722
fibonacci,57,1.26888778,1.14096216,1.62907129
fibonacci,58,1.32033178,1.1329188,1.69134186
fibonacci,59,1.10814725,1.16938215,1.40480129
fibonacci,60,1.11643681,1.15215835,1.41752158
fibonacci,61,1.24980177,1.14203177,1.59064195
fibonacci,62,1.25499415,1.14792546,1.60937895
fibonacci,63,1.33174836,1.13649076,1.726031
fibonacci,64,1.28365205,1.15787252,1.65662073
fibonacci,65,1.43091112,1.13015344,1.84618766
fibonacci,66,1.29464563,1.1372429,1.65782211
fibonacci,67,1.19984442,1.15607493,1.52575485
fibonacci,68,1.27229565,1.12838538,1.64061937
fibonacci,69,1.14092623,1.1979164,1.43389069
fibonacci,70,1.13665973,1.16467934,1.43294851
fibonacci,71,1.22941981,1.1331967,1.57825201
voronoi,42,2.07982548,1.08456427,2.74522704
voronoi,43,1.44833584,1.12932467,1.86419618
voronoi,44,1.28718458,1.15958405,1.6222108
voronoi,45,5.7193736,1.02320648,7.95849233
voronoi,46,4.22685601,1.03640027,5.82021542
voronoi,47,2.59726889,1.05602549,3.52477098
voronoi,48,1.78498409,1.10811668,2.34778735
voronoi,49,2.80936162,1.05303356,3.80902636
voronoi,50,2.04260388,1.07841045,2.71916917
voronoi,51,1.43271575,1.14271578,1.84411259
voronoi,52,1.9672838,1.1160073,2.58557391
voronoi,53,2.53802671,1.05230483,3.44280449
voronoi,54,1.61191103,1.12000059,2.09379972
voronoi,55,3.31752742,1.04004463,4.55052328
voronoi,56,3.18054875,1.03905163,4.37789183
voronoi,57,2.61276682,1.06041227,3.53558607
voronoi,58,1.75365929,1.12382899,2.26187454
voronoi,59,1.09796368,1.17860952,1.37006144
voronoi,60,2.09764371,1.09581825,2.75273726
voronoi,61,2.06245897,1.0757922,2.75588522
voronoi,62,4.31164523,1.02683332,5.9882394
voronoi,63,2.49097097,1.05185038,3.38756975
voronoi,64,2.53837576,1.06254562,3.42790414
voronoi,65,0.91904151,1.23294429,1.11325242
voronoi,66,1.26313032,1.16983821,1.59493152
voronoi,67,3.28566211,1.04329316,4.50097105
voronoi,68,1.71036317,1.11314177,2.21140694
voronoi,69,1.52351895,1.12740343,1.95956912
voronoi,70,2.13800737,1.07179696,2.85213999
voronoi,71,1.47277126,1.0931184,1.9374898
hexagonal,42,1.1664489,1.16822315,1.46787915
hexagonal,43,1.14569082,1.13776608,1.47062787
hexagonal,44,1.43678671,1.12162498,1.86889874
hexagonal,45,1.11409487,1.15834209,1.41713115
hexagonal,46,1.11955342,1.18073393,1.40187011
hexagonal,47,1.29606462,1.13790407,1.67035327
hexagonal,48,1.08662071,1.17681624,1.3899385
hexagonal,49,1.07426257,1.13099381,1.37639508
hexagonal,50,1.24862673,1.14451571,1.6143186
hexagonal,51,1.16913257,1.14677039,1.49448311
hexagonal,52,1.08992274,1.15194376,1.38408393
hexagonal,53,1.11878315,1.19673811,1.41372115
hexagonal,54,1.07101029,1.14941941,1.35212059
hexagonal,55,1.07521338,1.1825435,1.35063376
hexagonal,56,1.148928,1.17128835,1.45379923
hexagonal,57,1.0677869,1.14621974,1.36137118
hexagonal,58,1.1577881,1.18003238,1.47368869
hexagonal,59,1.03909336,1.17917368,1.29736188
hexagonal,60,1.20375068,1.16333786,1.5383774
hexagonal,61,1.26827893,1.12584293,1.65519855
hexagonal,62,1.37259628,1.11841678,1.77200329
hexagonal,63,1.03099785,1.18578767,1.28635007
hexagonal,64,1.12705524,1.17782418,1.41974616
hexagonal,65,1.18060942,1.13511839,1.50947774
