k0_base,beta_loss_factor,Q_individual,seed,curve_sep_botanical_vs_random,curve_sep_botanical_vs_fractal,curve_sep_botanical_vs_voronoi,finding_holds
0.002,0.1,0.5,42,0.4407,0.6413,0.4035,False
0.002,0.1,0.5,43,0.0806,0.7505,0.3735,False
0.002,0.1,0.5,44,2.0851,2.9562,2.0604,False
0.002,0.1,0.5,45,0.4732,0.9375,-0.1695,False
0.002,0.1,0.5,46,0.3945,1.4826,0.4714,False
0.002,0.1,0.5,47,0.5807,1.4919,0.3623,False
0.002,0.1,0.5,48,0.4257,0.6472,-0.2526,False
0.002,0.1,0.5,49,0.4464,1.5677,1.0812,False
0.002,0.1,0.5,50,0.7354,1.1317,-0.113,False
0.002,0.1,0.5,51,0.4606,1.7636,0.2915,False
0.002,0.1,0.5,52,0.4171,2.786,3.127,False
0.002,0.1,0.5,53,-0.4875,0.5583,-0.2015,True
0.002,0.1,0.5,54,0.2438,0.6576,0.3067,False
0.002,0.1,0.5,55,0.7353,1.293,-0.0298,False
0.002,0.1,0.5,56,0.874,1.4049,-0.0084,False
0.002,0.1,0.5,57,1.5894,2.5331,0.5636,False
0.002,0.1,0.5,58,0.0289,1.2191,1.4151,False
0.002,0.1,0.5,59,0.2899,1.2425,0.7779,False
0.002,0.1,0.5,60,1.2606,0.7168,-0.2173,False
0.002,0.1,0.5,61,-0.4291,0.0779,-0.3545,True
0.002,0.1,0.5,62,0.6571,1.3084,-0.0951,False
0.002,0.1,0.5,63,0.532,1.9449,0.2271,False
0.002,0.1,0.5,64,-0.56,0.1748,-0.4086,True
0.002,0.1,0.5,65,0.3685,0.8542,0.3675,False
0.002,0.1,0.5,66,1.7472,1.6989,0.6951,False
0.002,0.1,0.5,67,-0.7072,0.1107,-0.459,True
0.002,0.1,0.5,68,0.2407,0.7086,0.5923,False
0.002,0.1,0.5,69,0.9476,1.4246,0.189,False
0.002,0.1,0.5,70,-0.3758,0.4696,0.2808,False
0.002,0.1,0.5,71,-0.3242,0.4771,0.1859,False
0.002,0.1,0.8,42,0.4398,0.6403,0.4012,False
0.002,0.1,0.8,43,0.0802,0.749,0.3719,False
0.002,0.1,0.8,44,2.0804,2.95,2.0533,False
0.002,0.1,0.8,45,0.4733,0.937,-0.1691,False
0.002,0.1,0.8,46,0.3936,1.4786,0.4692,False
0.002,0.1,0.8,47,0.5793,1.4885,0.3613,False
0.002,0.1,0.8,48,0.4245,0.646,-0.2527,False
0.002,0.1,0.8,49,0.4453,1.5641,1.0777,False
0.002,0.1,0.8,50,0.7337,1.1297,-0.1132,False
0.002,0.1,0.8,51,0.4601,1.7606,0.2907,False
0.002,0.1,0.8,52,0.4165,2.7802,3.116,False
0.002,0.1,0.8,53,-0.4873,0.5569,-0.2017,True
0.002,0.1,0.8,54,0.2431,0.6565,0.3052,False
0.002,0.1,0.8,55,0.7336,1.2901,-0.0303,False
0.002,0.1,0.8,56,0.8727,1.4022,-0.0085,False
0.002,0.1,0.8,57,1.587,2.529,0.5626,False
0.002,0.1,0.8,58,0.0288,1.2168,1.4102,False
0.002,0.1,0.8,59,0.2895,1.2406,0.7759,False
0.002,0.1,0.8,60,1.256,0.7152,-0.2177,False
0.002,0.1,0.8,61,-0.4287,0.078,-0.3543,True
0.002,0.1,0.8,62,0.6556,1.3054,-0.0955,False
0.002,0.1,0.8,63,0.5313,1.9411,0.2265,False
0.002,0.1,0.8,64,-0.5595,0.1746,-0.4083,True
0.002,0.1,0.8,65,0.3673,0.8522,0.3659,False
0.002,0.1,0.8,66,1.7439,1.6964,0.6941,False
0.002,0.1,0.8,67,-0.707,0.11,-0.459,True
0.002,0.1,0.8,68,0.2401,0.7072,0.59,False
0.002,0.1,0.8,69,0.9461,1.4221,0.1883,False
0.002,0.1,0.8,70,-0.3757,0.4686,0.279,False
0.002,0.1,0.8,71,-0.3239,0.4765,0.1849,False
0.002,0.1,1.2,42,0.4385,0.639,0.3982,False
0.002,0.1,1.2,43,0.0797,0.7469,0.3697,False
0.002,0.1,1.2,44,2.074,2.9418,2.0438,False
0.002,0.1,1.2,45,0.4734,0.9364,-0.1686,False
0.002,0.1,1.2,46,0.3926,1.4733,0.4662,False
0.002,0.1,1.2,47,0.5773,1.4839,0.3599,False
0.002,0.1,1.2,48,0.4229,0.6443,-0.2529,False
0.002,0.1,1.2,49,0.4439,1.5593,1.073,False
0.002,0.1,1.2,50,0.7315,1.127,-0.1135,False
0.002,0.1,1.2,51,0.4594,1.7566,0.2897,False
0.002,0.1,1.2,52,0.4158,2.7726,3.1014,False
0.002,0.1,1.2,53,-0.487,0.555,-0.2021,True
0.002,0.1,1.2,54,0.2421,0.655,0.3034,False
0.002,0.1,1.2,55,0.7314,1.2863,-0.0309,False
0.002,0.1,1.2,56,0.871,1.3987,-0.0086,False
0.002,0.1,1.2,57,1.5838,2.5236,0.5614,False
0.002,0.1,1.2,58,0.0286,1.2138,1.4036,False
0.002,0.1,1.2,59,0.289,1.238,0.7732,False
0.002,0.1,1.2,60,1.2499,0.713,-0.2182,False
0.002,0.1,1.2,61,-0.4282,0.0781,-0.354,True
0.002,0.1,1.2,62,0.6537,1.3013,-0.0959,False
0.002,0.1,1.2,63,0.5303,1.936,0.2256,False
0.002,0.1,1.2,64,-0.5588,0.1744,-0.4079,True
0.002,0.1,1.2,65,0.3658,0.8496,0.3639,False
0.002,0.1,1.2,66,1.7394,1.693,0.6927,False
0.002,0.1,1.2,67,-0.7068,0.1091,-0.459,True
0.002,0.1,1.2,68,0.2393,0.7052,0.5869,False
0.002,0.1,1.2,69,0.944,1.4188,0.1874,False
0.002,0.1,1.2,70,-0.3754,0.4671,0.2766,False
0.002,0.1,1.2,71,-0.3234,0.4758,0.1834,False
0.002,0.1,2.0,42,0.436,0.6363,0.3923,False
0.002,0.1,2.0,43,0.0787,0.7428,0.3654,False
0.002,0.1,2.0,44,2.0614,2.9255,2.025,False
0.002,0.1,2.0,45,0.4737,0.9351,-0.1676,False
0.002,0.1,2.0,46,0.3904,1.4628,0.4603,False
0.002,0.1,2.0,47,0.5734,1.4748,0.3572,False
0.002,0.1,2.0,48,0.4197,0.641,-0.2531,False
0.002,0.1,2.0,49,0.4409,1.5497,1.0636,False
0.002,0.1,2.0,50,0.7271,1.1216,-0.1141,False
0.002,0.1,2.0,51,0.458,1.7487,0.2877,False
0.002,0.1,2.0,52,0.4142,2.7573,3.0724,False
0.002,0.1,2.0,53,-0.4865,0.5512,-0.2028,True
0.002,0.1,2.0,54,0.2402,0.6522,0.2996,False
0.002,0.1,2.0,55,0.727,1.2787,-0.032,False
0.002,0.1,2.0,56,0.8675,1.3917,-0.0088,False
0.002,0.1,2.0,57,1.5774,2.5129,0.5588,False
0.002,0.1,2.0,58,0.0282,1.2077,1.3905,False
0.002,0.1,2.0,59,0.288,1.2328,0.7677,False
0.002,0.1,2.0,60,1.2377,0.7087,-0.2192,False
0.002,0.1,2.0,61,-0.4272,0.0784,-0.3534,True
0.002,0.1,2.0,62,0.6498,1.2932,-0.0967,False
0.002,0.1,2.0,63,0.5283,1.9258,0.224,False
0.002,0.1,2.0,64,-0.5575,0.174,-0.4071,True
0.002,0.1,2.0,65,0.3628,0.8443,0.3598,False
0.002,0.1,2.0,66,1.7305,1.6864,0.6898,False
