Hypothesis,Metric,Target,k,N,r,p,threshold_abs_r,passes_threshold,loocv_mean_r,loocv_min_r,loocv_max_r,loocv_sign_stable
H1,eigenratio_R,Merit_Scaled,6,10,-0.042436,0.907337,0.632,no,-0.034092,-0.158399,0.297998,no
H2,algebraic_connectivity_lambda_2,Merit_Scaled,6,10,-0.34548,0.328189,0.632,no,-0.344337,-0.624967,-0.200017,yes
H3,clustering_coefficient,Merit_Scaled,6,10,0.24175,0.501009,0.632,no,0.254083,0.101836,0.744353,yes
H1,eigenratio_R,Merit_Scaled,3,9,0.653635,0.056215,0.632,no,0.653941,0.546605,0.876482,yes
H2,algebraic_connectivity_lambda_2,Merit_Scaled,3,9,-0.721106,0.02835,0.632,yes,-0.725286,-0.811569,-0.665019,yes
H3,clustering_coefficient,Merit_Scaled,3,10,0.072018,0.843275,0.632,no,0.098776,-0.12946,0.708305,no
H1,eigenratio_R,Merit_Scaled,10,10,0.3068,0.388557,0.632,no,0.330273,0.179078,0.750645,yes
H2,algebraic_connectivity_lambda_2,Merit_Scaled,10,10,-0.389389,0.266038,0.632,no,-0.387473,-0.539409,-0.22572,yes
H3,clustering_coefficient,Merit_Scaled,10,10,0.426627,0.218868,0.632,no,0.427717,0.293626,0.612683,yes
H1,eigenratio_R,Merit_Scaled,15,10,0.34277,0.33225,0.632,no,0.36181,0.212646,0.749328,yes
H2,algebraic_connectivity_lambda_2,Merit_Scaled,15,10,-0.318595,0.36961,0.632,no,-0.319577,-0.507481,-0.155809,yes
H3,clustering_coefficient,Merit_Scaled,15,10,0.287361,0.420784,0.632,no,0.302077,0.171706,0.625316,yes
